-22.8626877,-43.2258954
-22.8625055,-43.2234735
-22.952035,-43.1742079
-22.3903959,-41.8055038
-22.5850437,-43.3057424
-23.5617945,-46.7247365
-23.4821149,-46.4995538
-23.5580679,-46.7271292
-23.5639183,-46.7129947
-23.5639183,-46.7129947
-23.5564734,-46.6732697
-23.5597932,-46.7282051
-23.564448,-46.723639
-23.549848,-46.6368084
-23.5595155,-46.7294029
-23.5636346,-46.7161506
-23.5615553,-46.7292418
-23.5551366,-46.6704817
-23.5669506,-46.7383534
-23.5542954,-46.6725972
-22.3352373,-49.0615664
-22.0067774,-47.8972042
-21.9946142,-47.9264768
-21.1726736,-47.8594995
-22.8251962,-47.0667053
